snippet,headline__main,year_mo_day,compound,negative,neutral,positive
A response to a David Brooks column about giving children the tools they need to get a higher education.,State Support for Education,201102,0.34,0,0.862,0.138
"The police have arrested a 17-year-old boy accused of writing a blasphemous remark in an examination paper, an officer said Tuesday.","Pakistan: Boy, 17, Is Accused of Writing Blasphemous Remark",201102,-0.6486,0.238,0.762,0
Prime Minister Benjamin Netanyahu on Tuesday canceled the appointment of Maj. Gen. Yoav Galant as the Israeli Army’s incoming chief of staff.,Israel: Netanyahu Cancels Appointment to Top Army Post,201102,0,0,1,0
A response to an article about the planned National Museum of African American History and Culture.,Ideas for a Black Museum,201102,0,0,1,0
A response to an editorial about Anthony Horowitz’s coming Sherlock Holmes novel commissioned by the Conan Doyle Estate..,"Elementary, Said He. Don’t Infringe on Me.",201102,0.3182,0,0.874,0.126
Readers respond to articles about republicans and the health care law.,Paying for Health Care: Different Approaches,201102,0.4939,0,0.758,0.242
"The Rangers lost to the Penguins, who played without the stars Sidney Crosby and Evgeni Malkin.",Penguins Top Rangers in Bruising Win,201102,0.0258,0.123,0.749,0.128
Readers respond to articles about the uprising in Egypt.,Echoes From the Revolt in Egypt,201102,0,0,1,0
A proposed N.F.L. stadium in downtown Los Angeles would be called Farmers Field under a 30-year naming-rights deal.,Los Angeles Proposal Includes Naming Rights,201102,0,0,1,0
Thomas Dold of Germany won the Empire State Building Run-Up for a record sixth straight year.,Dold Runs to 6th Victory In Empire State Building,201102,0.6808,0,0.699,0.301
"Frank Busch, the University of Arizona coach, will become national team director for USA Swimming.",Arizona Coach Takes Job Overseeing National Team,201102,0,0,1,0
"Wayne Rooney scored twice in a game for the first time since last March 14, leading Manchester United over Aston Villa, 3-1, in the English Premier League.",Rooney Scores Twice To Lift Manchester United,201102,0.4215,0,0.899,0.101
"The inspector general’s job of detecting and deterring waste, fraud and misconduct in the Justice Department is oddly limited. The position’s power should be expanded.",Justice and the I.G.,201102,-0.6249,0.258,0.638,0.103
"Nassau County, one of the wealthiest in the nation, is in a dire financial state and needs a county executive capable of setting its affairs in order.","Nassau in a Ditch, Again",201102,0.4215,0.097,0.714,0.188
A ruling by a Federal District Court judge in Florida on the health care reform law was an example of judicial activism and overreach.,Judicial Activism on Health Reform,201102,0.4939,0,0.868,0.132
"The arrests this week came after the videotaped beating of a 13-year-old student who was hung by his coat from a spiked fence post last month, the police said.",7th Youth Arrested in Bullying of Teenager in Philadelphia,201102,-0.7096,0.191,0.809,0
"The former catcher spoke about his old team’s possible sale, steroids and his book at a awards dinner where he was being honored.","Piazza Working on Memoir, Not on Buying Piece of Mets",201102,0.7783,0,0.746,0.254
"Kyle Okposo scored twice, including a go-ahead goal in the Islanders’ three-goal second period.",Islanders Rally to Beat Thrashers in Atlanta,201102,0,0,1,0
"Dainius Zubrus scored on a shot that deflected off an Ottawa defenseman with 5:43 left, helping the Devils improve to 7-1-1 in the past nine games.",Devils Defeat Senators on Zubrus’s Goal,201102,0.128,0.12,0.68,0.201
"Two of the division’s familiar faces are back, this time with the Tampa Bay Rays.",Ramirez and Damon Rejoin A.L. East,201102,0,0,1,0
A lawsuit sheds a negative light on the way the British tabloid the News of the World relied on phone hacking.,A Hacking Case Becomes a War of the Tabloids,201102,-0.6808,0.248,0.752,0
"While sales of the company’s medical implants fell 4 percent in the last quarter of 2010, reduced costs were enough to return it to profitability.","Legal and Other Fees Down, Boston Scientific Posts Profit",201102,0.2732,0,0.916,0.084
A new report says the Gulf should recover from the enormous BP oil spill last year faster than expected.,Report Foresees Quick Gulf of Mexico Recovery,201102,0,0,1,0
"A tighter monetary policy would cause segments of China’s economy to slow slightly, but would be good news for Chinese consumers, because of their high savings rate.","China Is Poised to Raise Rates Again, Bankers Say",201102,0.5927,0,0.867,0.133
"Republicans used a judge’s invalidation of the Obama health care law to build momentum for a vote on repealing the act, but Senate Democrats said they would stage a vote on the repeal measure on Wednesday.",States Diverge on How to Deal With Health Care Ruling,201102,0.2732,0,0.938,0.062
"The Mets’ hierarchy took its problems to the office of Commissioner Bud Selig on Tuesday, meeting with him to review the tenuous state of the club’s finances.",Mets Officials Meet With Selig About Team’s Finances,201102,-0.4019,0.094,0.906,0
An anti-abortion group released an undercover video that appears to show a Planned Parenthood clinic manager advising a sex trafficker how to get medical care for prostitutes as young as 14.,Group Releases Hidden Tapes of Planned Parenthood,201102,0.4939,0,0.897,0.103
Hundreds of thousands of Egyptians traveled like pilgrims to speak freely and to be heard.,Quiet Acts of Protest on a Noisy Day,201102,0.6597,0,0.707,0.293
"Cathleen P. Black, the city’s new schools chief, faced an angry crowd as about 2,000 people awaited the decision.",Panel Votes to Close 10 City High Schools,201102,-0.5267,0.206,0.794,0
Comparing the cities hosting the political conventions: Charlotte for the Democrats and Tampa for the Republicans.,"Two Cities, Two Parties, One Big Steam Bath",201102,0,0,1,0
"The revised schedule is expected to stay in effect indefinitely, at least until engineers can muddle through a steep backlog of repairs on the railroad’s aging, exhausted fleet.",Metro-North Cuts Service on the New Haven Line,201102,-0.3612,0.088,0.912,0
"Thousands of employees were told to stay home last week, but are now being asked to explain their absences.",City Workers Face Penalty After Storm,201102,0,0,1,0
"Steelers defensive end Brett Keisel’s beard has 20,000 Facebook fans, a Web site and a song. Keisel has denied taking beard-enhancing drugs.",Keisel’s Beard Is the ‘Scruff of Legend’,201102,-0.4215,0.132,0.818,0.05
"A suit by Alphonse Fletcher Jr., a former president of the board, has accused several members of discrimination.",Dakota Co-op Board Is Accused of Bias,201102,-0.296,0.128,0.872,0
"Before the playoffs, Antonio Brown was a mostly anonymous rookie wide receiver. Now, he is the Steelers’ king of clutch.",Steelers Receiver Brown Made Key Plays in Playoff Victories,201102,0,0,1,0
"The Packers rookie Sam Shields had four tackles, a sack and two interceptions in the N.F.C. title game against the Bears.","For Shields, Answers Weren’t in the Cards, but on the Cards",201102,0,0,1,0
Investors hoping to make millions buying the back-office operations of a foreclosure lawyer have come up short.,Bet on Foreclosure Boom Turns Sour for Investors,201102,0.3182,0.082,0.765,0.153
Lt. Gen. David Rodriguez said that the United States and NATO could succeed in the war even if Pakistan refuses to shut down a lawless frontier sanctuary for militants.,U.S. General Sees Success Even if Pakistan Doesn’t Act,201102,0.2732,0.112,0.716,0.172
"Denny’s, which has for much of its 58-year history referred to its establishments as “family restaurants,” eschews that term for “diners.”","Yes, the Diner’s Open. How About a Seat at the Counter?",201102,0,0,1,0
The Bloomberg administration and the City Council are trying to provide an alternative to clogged subways and reduced bus service.,Ferries to Ply East River Far More Regularly Soon,201102,0,0,1,0
Why Israelis worry about the Egyptian Muslim Brotherhood.,"Israel, Alone Again?",201102,-0.4404,0.293,0.707,0
An investigation found that Russia used six stolen identities as cover for spies working in the United States.,Irish Expel Russia Envoy Over ID Theft for Spying,201102,-0.1027,0.145,0.727,0.127
"Lottery numbers of Feb. 1, 2011, for New York, New Jersey and Connecticut.",Lottery Numbers,201102,0,0,1,0
"Barack Obama won North Carolina in 2008, and Democrats hope holding their convention in Charlotte will help him win again.",Can North Carolina Deliver Again?,201102,0.9201,0,0.55,0.45
"A reader remembers a day in Tahrir Square, Cairo, 30 years ago.","From Sadat to Mubarak: A Reminiscence, and a Prayer",201102,0,0,1,0
"Cuba has agreed to release four more political prisoners and send them to Spain, Roman Catholic Church officials said in Havana on Wednesday.",Cuba: 4 Dissidents Offered Freedom,201102,-0.3566,0.134,0.787,0.079
"As President Robert Mugabe and his party, ZANU-PF, push for elections this year, reports of political violence in Harare, the capital, and its impoverished suburbs have surged in recent weeks.",Zimbabwe: Mugabe Opponents Beaten,201102,-0.34,0.118,0.805,0.078
Manchester United defender Gary Neville retired after a 20-year career spent entirely with the club.,Manchester United Defender Retires,201102,0.4939,0,0.741,0.259
Readers respond to the crisis in Egypt.,Awaiting the Outcome in Egypt,201102,-0.6249,0.406,0.594,0
A mistake on her final jump cost the Olympic champion Hannah Kearney the moguls title by 0.04 of a point and allowed Jennifer Heil of Canada to win the 2011 freestyle world championship.,Heil of Canada Wins Moguls Title,201102,0.872,0.059,0.639,0.302
"Chris Carter, a 325-pound lineman from Cleveland offered a scholarship by Ohio State, was arrested on suspicion of sexual imposition after a 15-year-old girl filed a complaint.",Ohio State Recruit Faces Charge,201102,-0.7845,0.283,0.717,0
"Mr. Hajiro was recommended for the Medal of Honor for bravery in combat during World War II, but did not receive the honor until 2000.","Barney Hajiro, Medal of Honor Recipient, Dies at 94",201102,-0.2363,0.228,0.541,0.23
One corrections officer was killed and another wounded Wednesday in a gun battle with a man suspected of killing his parents.,Florida: Officer and Suspect Killed in Gunfight,201102,-0.9413,0.53,0.47,0
A farmer sent to prison for waving a gun at a trespasser won early release on Wednesday after an outpouring of community support.,New Hampshire: Early Release for Farmer,201102,0.1779,0.203,0.569,0.228
"An elementary school principal was shot to death Wednesday by a school janitor in Placerville, the police said.",California: School Principal Killed in His Office,201102,-0.5994,0.196,0.804,0
Lt. Gov. Rick Sheehy said Wednesday that his 21-year-old son was injured when he accidentally shot himself in the face.,Nebraska: Lieutenant Governor’s Son Is Wounded,201102,-0.6249,0.221,0.779,0
"A bid by Republicans to repeal a sweeping overhaul fails, but they say they will keep trying.",Senate Rejects Repeal of Health Care Law,201102,-0.2263,0.119,0.881,0
"The Knicks were erratic on offense and defense, which allowed Dallas to pull away.",Knicks Are Inconsistent at Both Ends of Floor,201102,-0.128,0.129,0.774,0.097
Jrue Holiday recorded his first career triple-double as the 76ers beat the Nets for the third time this season.,Nets Coach Ejected as 76ers Prevail,201102,0.4019,0,0.87,0.13
The former telecommunications minister handled the sale of mobile telephone spectrum licenses and may have cost the government as much as $39 billion in lost revenue.,India: Arrests in Telephone Scandal,201102,-0.3182,0.084,0.916,0
"President Hugo Chávez, celebrating his 12th anniversary in power, said he was prepared to campaign for six more years in office.",Venezuela: Chávez in Re-election Bid,201102,0.6808,0,0.772,0.228
Corrèze is the most indebted of France’s 100 departments. Being home to a museum dedicated to former President Jacques Chirac does not help.,"For Debt-Ridden French Region, a Famous Son Is Now an Expensive Proposition",201102,0.1882,0.089,0.792,0.119
"The Muslim Brotherhood, which so scares the West, has been shut out of the revolution through its own incompetence.",Egypt’s Bumbling Brotherhood,201102,-0.7518,0.274,0.726,0
Ambue Ari has found itself at the center of a controversy for allowing visitors intimate contact with predators that are both dangerous and endangered.,Out for a Leisurely Stroll in the Middle of a Jungle,201102,-0.4767,0.124,0.876,0
"The administrator of the fund to compensate oil spill victims should not claim he is independent of BP, a judge says.","Fund Official Not Neutral, Judge Rules",201102,-0.3182,0.108,0.892,0
Syracuse avoided the first five-game losing streak in Jim Boeheim’s 35 seasons with a 66-58 victory.,Syracuse Stops Slide With Win at UConn,201102,-0.6124,0.278,0.722,0
"Bob Hurley, coach at St. Anthony High School of Jersey City, earned the 1,000th win of his career Wednesday with a 76-46 victory over neighboring rival St. Mary.","Hurley Notches Win No. 1,000",201102,0.5859,0,0.872,0.128
"The agreement will allow Web viewers wider access to the Comedy Central and MTV shows, and help Hulu prove its viability.",‘Daily Show’ and ‘Jersey Shore’ Deals for Viacom and Hulu,201102,0.8519,0,0.623,0.377
A look at the details of the mayor’s proposal.,Bloomberg’s Plan on Pension Changes,201102,0,0,1,0
"The L.P.G.A. dropped April’s Tres Marias Championship in Morelia, Mexico, because of concerns about violence linked to the drug trade, tour officials said.","Fearing Drug Violence, L.P.G.A. Drops Event",201102,-0.296,0.146,0.75,0.104
The Department of Defense recently confirmed the deaths of the following Americans.,Names of the Dead,201102,0.128,0,0.88,0.12
"Karen Thomas spent 20 years designing buildings, but now she lets somebody else do that so she can concentrate on making the design happen.",Aesthetics? This Architect Likes the Dirty Work,201102,0,0,1,0
"While the majority owner of the Devils would like to develop two restaurants and a hotel, the two minority owners would like to sell their shares.",Sell or Build? Devils Owners Clash Over How to Proceed,201102,0.3612,0.116,0.658,0.226
"A meeting of top diplomats, summoned by Secretary of State Hillary Rodham Clinton to discuss new strategies, coincided with a tumultuous moments for American diplomacy.","As Crisis Unfolds Overseas, Diplomats Gather in Washington",201102,0.2023,0,0.924,0.076
An examination of the governor’s smaller spending proposals provides a clear view of his priorities in getting a grip on New York’s finances.,Cuomo’s Budget Whittles at All Corners of the State,201102,0.3818,0,0.885,0.115
Leonard F. Joy is retiring after two decades as the leader of the New York federal public defender’s office.,An End to a Long Tenure Defending the Infamous,201102,0.5859,0,0.826,0.174
"Regardless of what a building looks like, architects say, water can build up, freeze and fall to the street.","When Water, Cold, Gravity and a Building Come Together",201102,0.4019,0,0.812,0.188
"A federal judge said the settlement was based on the company’s improper profits, not the estimated $300 million its illegal activities cost energy customers.",Price-Fixing by KeySpan Will Cost It $12 Million,201102,0.1027,0.126,0.699,0.175
A holiday will affect parking rules in the city on Thursday.,Parking Rules for New York City,201102,0.4019,0,0.769,0.231
Andrew Hamingson resigned after spending two and a half years as the company’s top financial executive.,Public Theater’s Finance Chief Quits With Little Explanation,201102,-0.0516,0.119,0.774,0.107
"The United States Anti-Doping Agency, and not cycling’s governing body, will handle the drug testing at the country’s most prominent road bicycle race.",U.S. Agency to Handle Drug Testing at Tour of California,201102,0.659,0,0.796,0.204
For a Magic team that has struggled to find consistency — particularly on defense — Coach Stan Van Gundy is savoring any positive steps he can find these days.,"With Heat Coming to Town, Magic Stresses Positives",201102,0.4549,0.073,0.763,0.164
"The Anschutz Entertainment Group joined with a small technology company, Outbox Enterprises, and said it expected to begin operations in about six months.",Joint Venture Creates a Rival For Concert Ticketing Services,201102,0.4215,0,0.882,0.118
"One of the foremost American diplomats in recent decades was President Obama’s man in Cairo this week, charged with suggesting that President Hosni Mubarak make his exit.","Frank Wisner, the Diplomat Sent to Prod Mubarak",201102,-0.2023,0.065,0.935,0
Mr. Kaman was an innovator in the development and manufacture of helicopter technology and the inventor of one of the first electrically amplified acoustic guitars.,"Charles H. Kaman, Helicopter Innovator, Dies at 91",201102,0,0,1,0
"Lottery numbers for Feb. 2, 2011, for New York, New Jersey and Connecticut.",Lottery Numbers,201102,0,0,1,0
"After months of tough talk, some tentative signs that a labor agreement may be achievable have appeared.","Lockout Not Inevitable, League Negotiator Says",201102,0.6124,0.075,0.65,0.275
"Lawyers sued the FDA on behalf of death-row prisoners, demanding that a Federal District Court prohibit importation and use of sodium thiopental, a drug used in many executions.",F.D.A. Sued Over Drug Used in Executions,201102,-0.6369,0.178,0.822,0
An appeals court upheld a ruling that Judge James DeWeese violated the separation between church and state by displaying a poster containing the Ten Commandments in his courtroom.,"Ohio: Thou Shalt Not Display That Poster, Court Says",201102,-0.5267,0.12,0.88,0
"Ted Thompson returned to his home state, not as the villain who expedited Brett Favre’s departure from Green Bay, but as the general manager who crafted the Packers’ post-Favre resurgence.",The Packers’ Modest G.M. Has Plenty to Brag About,201102,0.2411,0,0.937,0.063
A Philadelphia couple whose 2-year-old died while they prayed is ordered to ensure medical care for their surviving children.,Faith-Healing Parents Get Probation,201102,0.5267,0.141,0.547,0.313
"The Steelers’ Doug Legursky filled in when the Pro Bowl center Maurkice Pouncey was hurt, and now could help in a bigger game.",Thrust From Margins Into a Big Game’s Glare,201102,-0.1779,0.13,0.766,0.103
General Mills is using in-store displays and TV spots to promote the whole grains in its cereals.,"And Down This Aisle, Many Whole Grain Options",201102,0.3818,0,0.86,0.14
"A report, falling between the deliberate pace of science and the deadline-driven needs of law, puts an important marker on the progress of the gulf recovery.","On Gulf Oil Spill’s Effects, Doing Science With a Deadline",201102,0.4588,0.057,0.78,0.163
"Our quirky, discerning picks for the most interesting things to do around the state this week.",GTT ★,201102,0.4576,0,0.834,0.166
"One hundred fifty years after Texas seceded from the Union, secession talk is again in the air, but it’s just hot air.","Secession Percolates Through Big Issues, but It’s Just Talk",201102,0,0,1,0
The president of the University of Texas at Arlington warned that further state budget cuts would threaten the university’s progress toward becoming a tier-one institution.,"Committed to Research, but Cuts Raise Issues",201102,-0.4767,0.232,0.673,0.094
"The Pittsburgh Steelers’ starting offensive center, Maurkice Pouncey, who was overlooked in the voting, was described by his coach as the best first-year player he has ever been around.",Injured Steeler Is Overlooked for Rookie of Year,201102,0.2732,0.12,0.758,0.122
"Total population of New Jersey declined in some urban cores, but not in Newark, and grew in places like Lakewood, Franklin and Hoboken.",New Jersey's Changing Population,201102,0.5023,0,0.871,0.129
"Despite a sluggish first half, Ohio State defeated Michigan to open the season with 23 wins for the second time in team history.",Ohio State Extends Win Streak in Rally Past Michigan,201102,-0.2732,0.204,0.667,0.13
The executive director of the N.F.L. Players Association said that a league proposal that players should make $1 billion in concessions made no sense when revenues were at record highs.,Union Leader Addresses Differences With League,201102,-0.296,0.073,0.927,0
Lindsey Vonn sustained a concussion when she crashed during practice and was unsure Thursday whether she would compete in the final two races before the world championships.,Vonn Crashes in Practice and Sustains Concussion,201102,0.296,0.068,0.822,0.11
Sideshows have allowed the mayoral candidates in Chicago to continue avoiding substantive discussion of the most difficult and vital topic in the February election: the city’s dire financial picture.,"In Campaign, Sideshows Take Over",201102,-0.6936,0.23,0.701,0.069
Terry Pegula can never move the Sabres from Buffalo under terms of his $189 million deal to buy the franchise.,Deal Ensures Sabres Will Stay,201102,0,0,1,0
The college basketball season has not been much to celebrate for Illinois’s big-name teams.,Locals in March Madness? A Thaw Today?,201102,0.5719,0,0.778,0.222
Brian Rolston’s goal wound up being the difference as New Jersey won for the eighth time in 10 games and handed the Rangers their third straight loss.,Puck Strikes Post as Devils Continue Hitting Stride,201102,0.5106,0.072,0.752,0.176
"Andy Pettitte, along with Derek Jeter, Mariano Rivera, and Jorge Posada, made their debuts in 1995 and helped the Yankees win five World Series.",Retirement Further Erodes a Homegrown Core,201102,0.5859,0,0.858,0.142
There are novel ways to raise badly needed money if only the next Chicago mayor and City Council would look around.,The Mayoral Campaign Stoops to Political Theater,201102,-0.2023,0.127,0.779,0.094
The impending trial of a Devon Avenue man accused in the 2008 Mumbai terrorist attacks is putting a melting-pot neighborhood to the test.,Impending Trial Puts a Melting-Pot Neighborhood to the Test,201102,-0.8689,0.353,0.647,0
"An analysis found that one material in the glove had been changed, making it noncompliant with national safety standards.",Fire Department to Replace New Gloves After Six Suffer Hand Burns,201102,0.4215,0,0.865,0.135
Congress needs to extend a tax credit program to help rebuild affordable housing units in the gulf states.,Affordable Housing and the Gulf,201102,0.7184,0,0.667,0.333
"Donnie Walsh, the Knicks executive, is still taken aback at the intensity, the volume and the size of the herd that surrounds him each time controversy erupts — which, with the Knicks, is often.","To Walsh, Attention Is Puzzling",201102,0,0,1,0
"When a child’s name is on a Texas registry of people who abuse children, the ramifications are many.",Caught in the Gray Area of a Child-Abuser Database,201102,-0.6369,0.219,0.781,0
"Ireland’s government becomes the first, but likely not the last, to be brought down by the shocks battering the euro.",Now Ireland,201102,-0.5267,0.152,0.848,0
"Thursday was the second day of the New York City school system’s annual rowdy, ear-splitting, all-night, midwinter meetings at which failing schools get closed.","Protesting School Closings, in a Noisy Annual Ritual",201102,-0.5106,0.125,0.875,0
"Winning numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201102,0.5267,0,0.702,0.298
"Andy Pettitte, who won 240 games, and who pitched for five Yankee championship teams, will formally announce his retirement Friday.","After 16 Seasons, Goodbye to a Gamer",201102,0.765,0,0.732,0.268
"Despite logistical challenges, a campaign to oust President Hosni Mubarak has survived, waged by a diverse band of protesters with no acknowledged leader.",Some Fear a Street Movement’s Leaderless Status May Become a Liability,201102,0.128,0.16,0.661,0.179
A move to allow more tenancies-in-common to convert to condos is unlikely to pass the San Francisco Board of Supervisors.,A Path to Homeownership Is Becoming a Burden,201102,0.2263,0,0.905,0.095
"Charging $7 for a visit to Golden Gate Park’s botanical garden, an unpopular idea from the start, turns out not to generate as much revenue as expected.",Charging Fees to See Trees at Golden Gate Park’s Arboretum Doesn’t Even Pay the Bills,201102,0,0,1,0
"As the popularity of the television series “Glee” has grown, so have the number of youth choruses, groups that are taking on advanced repertory and building worldwide reputations.","In the ‘Glee’ Era, Youth Choruses Pop Up All Over",201102,0.6872,0,0.79,0.21
Some supporters of a measure to make judicial-discipline hearings public predict that it will get more attention this year than it has for decades.,A Push to Open Hearings in Judge-Misconduct Cases,201102,0.4404,0,0.884,0.116
"Net income rose to $511 million in the most recent quarter, up from $172 million a year ago.",Earnings Soar at Dow,201102,0,0,1,0
The 2010 census shows that the population of New Orleans is 29 percent smaller than it was a decade earlier.,"Smaller New Orleans After Katrina, Census Shows",201102,0,0,1,0
"Jewish Voice for Peace, an organization based in Oakland, hopes that a new government in Egypt will lead to an end of Israel’s occupation of the Palestinian territories.","A Jewish Group Makes Waves, Locally and Abroad",201102,0.743,0,0.799,0.201
"Mine Jeffery, in Asbestos, Canada, is hoping to export asbestos to developing countries like India and Pakistan, despite its links to cancer.","In a Town Called Asbestos, a Plan to Restart the Industry That Made It Prosperous",201102,-0.0258,0.153,0.662,0.185
A response to an Op-Ed about efforts to generate new jobs on urban vacant lot in Philadelphia.,The Philadelphia Story,201102,0,0,1,0
A response to an article about changing the corporate tax code.,Biotech Tax Rate,201102,0,0,1,0
"Donald Driver told his Packers teammate Aaron Rodgers to put his health first, a contrast to the defiant approach of the Steelers.",Two Teams Show Divide in Debate on Safety,201102,-0.2263,0.087,0.913,0
A response to an article about stricter oversight of defibrillators.,Reclassifying Defibrillators,201102,0,0,1,0
A response to an article about the ause of the topsy-turvy weather.,Speaking of the Weather ...,201102,0,0,1,0
"A computer coding error at AXA Rosenberg, a quantitative investor, was not disclosed to customers in a timely way.",AXA Firms to Settle S.E.C. Case,201102,-0.4019,0.153,0.847,0
A response to an article about how to improve America’s unhealthy diet.,Food and the Planet,201102,-0.128,0.222,0.588,0.19
Readers respond to articles about the unrest in Egypt.,The Drama in Egypt: What Is the Next Act?,201102,0,0,1,0
"The administration’s money-saving ideas were received as constructive, but not nearly enough.",Governors Get Advice for Saving on Medicaid,201102,0,0,1,0
Readers respond to articles about the health care law.,"Health Care, Again in the Spotlight",201102,0.4939,0,0.714,0.286
A bill to be introduced on Friday aims to end complaints by seeking stricter regulation of discount bus companies operating on New York City streets.,Cheap Buses May Face Restrictions on Locations,201102,-0.4019,0.105,0.895,0
"A suspect who confessed to the killing of David Kato, a prominent gay-rights activist, said it was unrelated to Mr. Kato’s activism, the police said Thursday.",Uganda: Police Say Killing Is Unrelated to Gay Rights,201102,-0.6486,0.221,0.702,0.077
Fred Korematsu was rightfully honored for his courage during World War II and role in constitutional law.,Korematsu Day,201102,0.4767,0.157,0.562,0.281
"Though Ms. Schneider tried to move beyond the notoriety, her sex scenes with Marlon Brando in “Last Tango in Paris” defined her career.","Maria Schneider, Actress in ‘Last Tango,’ Dies at 58",201102,0,0,1,0
A court found a Somali man guilty of terrorism for using an ax to break into the home of a Danish cartoonist who had caricatured the Prophet Muhammad.,Denmark: Somali Convicted in Attack on Cartoonist,201102,-0.8126,0.243,0.757,0
Parliament denied a request by prosecutors to search Prime Minister Silvio Berlusconi’s offices as part of an investigation into whether he paid women for sex. He weathered a political crisis as well.,Italy: Pair of Victories for Berlusconi,201102,-0.7096,0.194,0.748,0.058
"Maj. Nidal Malik Hasan, the Fort Hood shootings suspect, made his views known, but no one followed up, a report says.",Authorities Faulted in Fort Hood Attack,201102,-0.5267,0.196,0.804,0
The widow of a former employee of Fred Wilpon and Saul Katz says in a lawsuit that fiduciary duties were breached when employees were allowed to invest with Bernard L. Madoff.,Madoff Victim Says Mets Owners Ignored Signs,201102,-0.2263,0.064,0.936,0
"Tommy Gainey and Mark Wilson topped the Phoenix Open leader board in Scottsdale, Ariz., reaching 11 under before second-round play was suspended.",Suspended by Darkness,201102,0.0258,0.118,0.722,0.16
Letters to the editor regarding joblessness and “brain drain” among young Japanese graduates.,The Young and the Restless in Japan,201102,0,0,1,0
Letter to the editor regarding hunger in Yemen.,Fighting Hunger in Yemen,201102,-0.25,0.222,0.778,0
Letter to the editor regarding universal health care in Mexico and in the United States.,Health Care in Mexico ... and in the U.S.,201102,0.7184,0,0.684,0.316
Letters to the editor regarding the crisis in Egypt.,Watching the Struggle for Egypt,201102,-0.6249,0.339,0.661,0
Letter to the editor regarding a new Chinese policy that would force children to visit their parents.,Parents and Adult Children,201102,0,0,1,0
"President Obama needs to push forward an important trade deal with South Korea, despite Capitol Hill’s balking.",More Trade Follies,201102,0.2023,0,0.899,0.101
Letter to the editor regarding safety tips for preventing SIDS.,Sudden Infant Death,201102,0.4019,0.092,0.672,0.235
"Letter to the editor regarding education in Ossining, N.Y.",The Achievement Gap,201102,0,0,1,0
"The House ethics committee has decided that when it comes to money and ethics, money nearly always wins.",The Disappearing Ethics Act,201102,0.5719,0,0.821,0.179
"New York’s antismoking campaign has been a great public service, but now the mayor and City Council have overreached.",Too Much of a Good Thing,201102,0.3716,0,0.87,0.13
"Princeton, which beat the Crimson, 65-61, shares the top spot with Penn.",Princeton Stays in First in Ivy League,201102,0.4588,0,0.714,0.286
"Before the Bernard L. Madoff affair, there were Tony Bernazard, Kirk Radomski and Charlie Samuels.",The Know-Nothing Mets? There’s a Pattern Here,201102,0,0,1,0
"Peter S. Stamos was brought in to diversify the Mets’ owners holdings, but they did not take his advice when it came to Bernard L. Madoff.","Hiring Financier for Advice, Mets Owners Didn’t Take It, Lawsuit Says",201102,0,0,1,0
One Arab strongman is doing a better job of holding onto power than the leaders of Tunisia and Egypt.,Why Yemen Won’t Fall,201102,0.5574,0,0.777,0.223
"Chris Drury, the Rangers’ captain, who is having a poor season, will not make the trip to Montreal for Saturday’s matinee against the Canadiens.","Drury’s Knee Swells, Saving Coach From Tough Call",201102,-0.4767,0.124,0.876,0
"Another skirmish in the cable news culture wars was woven into one of the most critical — and visually riveting — foreign news events in years, leaving viewers best served by CNN.",CNN Rises to the Top in Egypt Coverage,201102,-0.2484,0.157,0.736,0.107
Shawne Williams missed a shot as time expired as the Knicks blew a 9-point fourth-quarter lead in suffering their sixth straight road loss.,"76ers Beat Knicks, Continuing to Surge as Knicks Struggle",201102,-0.6908,0.287,0.642,0.072
"Dwyane Wade, who was injured Thursday night, was a game-time decision but scored 22 points with 12 rebounds and 10 assists in the Heat’s win over the Charlotte Bobcats.",Wade Leads Heat to Fifth Straight Win,201102,0.6542,0.056,0.787,0.157
"A private plane crashed in the northern city of Sulaimaniya shortly after takeoff on Friday, killing all seven passengers and crew members, officials said.",Iraq: Plane Crash Kills 7,201102,-0.6597,0.167,0.833,0
"The Global Fund to Fight AIDS, Tuberculosis and Malaria announced steps on Friday to strengthen antifraud safeguards, including doubling the budget for internal investigations.",Health Fund Adds Fraud Checks,201102,0.2732,0.092,0.742,0.166
"Cambodian and Thai troops battled for two hours Friday along a disputed stretch of their border, trading artillery fire that killed at least two people.",Cambodia Battles Thai Forces,201102,-0.8885,0.365,0.635,0
"A Chinese official, Xu Zhitao, has denied accusations by Indian officials that a revered Tibetan leader living in India is a spy for the Chinese government, Chinese news reports said this week.",China: Officials Say Tibetan Lama Is Not a Chinese Spy as India Says,201102,-0.2263,0.151,0.754,0.096
"The Glove Corporation, which sold $800,000 worth of flawed gloves to the New York City Fire Department, has closed its manufacturing plant.",Maker That Sold Gloves to Fire Dept. Closes Plant,201102,-0.128,0.099,0.823,0.078
"Prosecutors are charging a jailed American contractor with “acts against the integrity and independence” of Cuba and requesting a 20-year jail term, state news media reported Friday.",Cuba: Stiff Charges for American,201102,-0.1531,0.111,0.799,0.09
Prosecutors said Friday that three members of the Pakistani cricket team that toured England last summer would be tried on charges of “spot-fixing” elements of a five-day contest in London in August.,Britain: Cricket-Fixing Charges,201102,-0.2732,0.065,0.935,0
"Corrections appearing in print, February 5, 2011.",Corrections,201102,0,0,1,0
Several business owners in East Harlem are fighting to hold on to their property as the Bloomberg administration tries to have it condemned on behalf of a big developer.,Blighted Area? These Business Owners Beg to Differ,201102,-0.6597,0.172,0.828,0
