snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
"Todos Santos, Mexico, loved by surfers for its legendary waves, may not be a hospitable place for toddlers. But on a multifamily vacation to the town, a swell time is had by all.",Baja for Beginners,20060319,0.5994,0.5994,0,0.881,0.119
"For years, the college student experienced disabling stomach pain that arrived as mysteriously as it disappeared.",Abdominal Attacks,20060319,-0.8074,-0.8074,0.39,0.61,0
The Patent Office grants patents at a level of abstraction that is unwise.,This Essay Breaks the Law,20060319,0.2263,0.2263,0,0.853,0.147
National Public Radio wore its poverty like a badge of honor. What's it going to wear now that it's $230 million richer?,Money Changes Everything,20060319,0.7003,0.7003,0.112,0.578,0.31
"Bullet trains, underground shopping malls and a golden temple. But no chance to drink the magic water from the wishing well.",Tales from Kyoto,20060319,0.4215,0.4215,0.091,0.661,0.248
"After war and neglect, Eritrea has taken charge of its destiny and, with little support and few resources, willed itself into a viable nation.",Memories of the Future,20060319,-0.6697,-0.6697,0.235,0.682,0.082
Through Africa on a luxury Christian safari.,Go With God,20060319,0,0,0,1,0
N.Y.U. will create a center for studying the ancient world and Columbia will establish a center for the brain and human behavior.,N.Y.U. and Columbia to Receive $200 Million Gifts for Research,20060320,0.2732,0.2732,0,0.9,0.1
"President Bush's recovery czar, Donald E. Powell, decided to support housing aid after hours of listening to Louisianans.","Behind Louisiana Aid Package, a Change of Heart by One Man",20060320,0.4019,0.4019,0,0.863,0.137
The chief executive of Verizon Communications is taking a big risk as he spends money on turning it into a fast-growing technology company.,"While AT&T Does Deals, Verizon Spends to Hone Its Networks",20060320,-0.2732,-0.2732,0.095,0.905,0
"As Hamas completes its cabinet, there is a sense that the landscape has changed for some time to come.",A New Landscape: Hamas Digs In,20060320,0,0,0,1,0
"Prosecutors will be looking to end on a flourish with the testimony of Ben F. Glisan Jr., the only former top Enron executive who has already been sentenced.","Enron Prosecutors Have Another Key Witness, From Jail",20060320,0.1779,0.1779,0.039,0.896,0.065
Roger Toussaint demanded that the Metropolitan Transportation Authority agree to a second vote on the contract that his membership narrowly rejected in January.,"At City Hall Rally, Transit Union Leader Demands Revote",20060320,-0.34,-0.34,0.193,0.667,0.141
"To the Editor: Claudia Goldin contends (''Working It Out,'' Op-Ed, March 15) that news reports are wrong, and ''the truth is that a greater fraction of college women today are mixing family life and career than ever before.'' Truth?",Women Who Decide to Opt Out,20060320,0.24805,0.4588,0.07,0.769,0.161
"Three strong favorites were beaten on Saturday in the four major prep races, further muddling an already muddled picture. Who wants to wear the blanket of roses? So far nobody has staked a strong claim. By JOE DRAPE HORSE: 1. Brother Derek T...",The Road to the 132nd Kentucky Derby,20060320,0.2553,0.765,0.056,0.757,0.187
"Conversation may be one of the most fundamental political and social acts  it reflects not just the state of our selves, but the state of society.",Are We Having a Conversation Yet? An Art Form Evolves,20060320,0,0,0,1,0
"To the Editor: Re ''New Strategy on Clean Air'' (editorial, March 4):",T.V.A. Coal Emissions,20060320,0.4019,0.4019,0,0.803,0.197
"Anxious about admissions, students aiming for the most selective universities often apply to far more of them than their parents did.","In New Twist on College Search, a First Choice, and 20 Backups",20060321,-0.25,-0.25,0.091,0.909,0
N.Y.U. will create a center for studying the ancient world and Columbia will establish a center for the brain and human behavior.,N.Y.U. and Columbia to Receive $200 Million Gifts for Research,20060321,0.2732,0.2732,0,0.9,0.1
"Because of the drought that began in the late 1990's, many areas face a bad fire season. But other areas, snowpacked, may flood.","More Western Drought, but With a Twist",20060321,-0.7096,-0.7096,0.228,0.772,0
The World Health Organization says that many countries are still not promptly sharing information on avian influenza with the scientific community.,Health Officials Urge Nations to Report Bird Flu Data Sooner,20060321,-0.3252,-0.3252,0.104,0.896,0
"If you want to wow your friends in the kitchen (and you have cash to spare), replace your old stove with an induction cooktop.",It's Heating Up Inside,20060321,0.802,0.802,0,0.719,0.281
"Far-ranging barn swallows, induction cooktops, vitamin-infused grapes and light pollution.",When the Swallows Came to Baikal,20060321,0,0,0,1,0
Ray H. Baughman has built something that will be crucial for future androids: artificial muscles.,"For Robots, Fuel Cells That Double as Muscles",20060321,0,0,0,1,0
"The four-legged plant-eating dinosaur had an unbelievably long, cumbersome neck that was 24 feet long.",Ungainly Sauropod Had a Secret for Holding Its Head Up and Its Neck Out,20060321,0,0,0,1,0
"The centuries-old Bedouin custom of intermarriage has had devastating genetic effects, which are now being addressed by an unusual scientific team.",A Hunt for Genes That Betrayed a Desert People,20060321,-0.6486,-0.6486,0.177,0.823,0
"Managing wildlife disease is a major problem in the nation's parks, which are charged with protecting threatened and endangered species.",Parks Struggle to Keep Wildlife Healthy and Other Interests Happy,20060321,-0.7579,-0.7579,0.319,0.681,0
The tasting panel found that Australian cabernet sauvignon-shiraz blends are juicy wines that may offer a lot of pleasure but have little character or individuality.,A Match Made in Australia,20060322,0.3291,0.3291,0,0.907,0.093
Two groups of researchers have discovered why the avian flu virus is transmitted rarely if ever from one person to another.,Researchers Find New Details on Transmission of Avian Flu,20060322,-0.3818,-0.3818,0.115,0.885,0
"Antibiotic resistance has long been an important human health problem. But now it is also showing up in a small but growing number of pets, scientists have found.",Pet-Human Link Studied in Resistant Bacteria,20060322,0.2617,0.2617,0.062,0.773,0.165
Experts cautioned that the chances of the widely used test missing gene mutations are small in women not from high-risk families.,Flaw Seen in Genetic Test for Breast Cancer Risk,20060322,-0.1027,-0.1027,0.096,0.826,0.078
Never has the nation's education system been so reliant on standardized tests and the companies that make them.,Standardized Tests Face a Crisis Over Standards,20060322,0.2479,0.2479,0,0.895,0.105
"Most New Orleans evacuees have depleted their savings and lack permanent places to live, according to interviews by The Times.",Evacuees' Lives Still Upended Seven Months After Hurricane,20060322,-0.3182,-0.3182,0.108,0.892,0
The New York Times study of Hurricane Katrina evacuees was based on interviews with 337 people who left the New Orleans area in the wake of the storm.,How the Study Was Conducted,20060322,0,0,0,1,0
"While ""Heist"" is cleverer and more unusual than ""The Evidence,"" both series indicate how little has changed in the way of racial diversity on television.",Dougray Scott and Orlando Jones Are Stars in 2 New Crime Series,20060322,0.4588,0.4588,0,0.889,0.111
"Now that the preservation battle at 2 Columbus Circle has ended, the Museum of Arts and Design can focus on growth.",The Museum of Arts and Design Prepares for Its New Home,20060322,0,0,0.112,0.776,0.112
"A mixture of maple syrup and Dijon mustard coats this hearty meatloaf of beef, pork and veal.","In the Sugarhouse, a Slow, Steamy Rite of Spring",20060322,0,0,0,1,0
"The growing human influence on earth's climate could lead to a long and irreversible rise in sea levels, according to new observations.",New Studies Warn of Effects of Melting Polar Ice,20060323,-0.0258,-0.0258,0.08,0.844,0.076
"The growth reverses two years of decline that occurred in the aftermath of the Sept. 11 attacks, but the number of applications is still lower than in the years before 2003.","In Reversal, Graduate School Applications From Foreigners Rise",20060323,-0.3612,-0.3612,0.136,0.771,0.093
More than 50 schools were forced to close because of what officials described as a sick-out to protest a temporary pay cut.,"In Protest, Detroit Teachers Call In Sick",20060323,-0.7579,-0.7579,0.347,0.653,0
"The College Board disclosed that after rechecking additional tests, it found 400 more students whose scores were too low.",SAT Problems Even Larger Than Reported,20060323,-0.2732,-0.2732,0.104,0.896,0
"Experts said stimulants like Ritalin should carry a warning that children may suffer hallucinations of insects, snakes or worms.",Panel Advises Disclosure of Drugs' Psychotic Effects,20060323,-0.5267,-0.5267,0.252,0.641,0.107
The manufacturers of Tysabri said the Food and Drug Administration needed extra time to review information regarding the risk-management plan for the drug.,Delay on Drug Decision,20060323,0,0,0,1,0
Researchers say that the virus would need to mutate to spread from person to person via coughs and sneezes.,Studies Suggest Avian Flu Pandemic Isn't Imminent,20060323,0,0,0,1,0
"Fluoride occurs naturally in water in areas where 10 million people live, and the E.P.A. should reduce the maximum concentration that it considers safe, a committee said.",Panel Urges Lowering of Allowable Fluoride,20060323,0.4404,0.4404,0,0.896,0.104
"Some people who do not recover with an initial course of antidepressant therapy can increase their chances of finding relief by trying other drugs, researchers are reporting.","Different Drug Often Works in Depression, Study Finds",20060323,0.7351,0.7351,0,0.769,0.231
"In the conviction of a dog handler, a military jury again decided higher-ranking officers were not to blame for Abu Ghraib abuses.",Iraq Abuse Trial Is Again Limited to Lower Ranks,20060323,-0.3744,-0.3744,0.152,0.762,0.086
"Last year had the lowest per capita rate since national reporting began in 1953, but there was an increase in the number of cases resistant to several drugs.",Tuberculosis Declines to Historic Low in the U.S.,20060324,0.3818,0.3818,0.058,0.801,0.141
"Within the next 100 years, the growing human influence on Earth's climate could lead to an irreversible rise in sea levels, according to new observations.",Climate Data Hint at Irreversible Rise in Seas,20060324,-0.0258,-0.0258,0.068,0.868,0.064
Three groups of scientists confirmed that severely diabetic mice can recover on their own if researchers squelch an immune system attack that is causing the disease.,A Controversial Therapy for Diabetes Is Verified,20060324,-0.5994,-0.5994,0.195,0.735,0.07
"The real Exuma is a do-it-yourself place, best discovered with sand between your toes.","36 Hours in Exuma, the Bahamas",20060324,0.6369,0.6369,0,0.741,0.259
A designer's Milan apartment plays off both sides of his personality.,Fun House Slide Show,20060324,0.25,0.25,0,0.818,0.182
"Yet another of those soft-core, simple-minded stories about a geeky young gay struggling with his sexuality.",Film in Review; Summer Storm,20060324,-0.5267,-0.5267,0.253,0.747,0
"To the Editor: Re ''Outrage in Afghanistan'' (editorial, March 23):",The Afghan Christian Who Faces Death,20060324,0,0,0,1,0
"Photo of Texas University men's basketball team's win over West Virginia University, 74-71, in NCAA tournament Round of 16",Hooked at the Horn,20060324,0.5859,0.5859,0,0.826,0.174
"Skeptics remain unconvinced about the long-term business viability of mash-up ventures, which mix data from different online sources.",Wary of a New Web Idea That Rings Old,20060324,-0.4588,-0.4588,0.2,0.8,0
"It has been one black eye after another for H&R Block this tax season, and its competitors smell blood, which may be good for taxpayers.",H&R Block's Troubles Offer Opportunities for Some,20060325,0,0,0.101,0.799,0.101
International health officials said stronger ties between veterinarians and physicians are needed to prevent further outbreaks of the animal diseases that affect humans.,Tackling the Animal-to-Human Link in Illness,20060325,0.4019,0.4019,0,0.85,0.15
"For Julian Barnett, choreography seems to exist as a vehicle for his own fitful, energetic dancing, but his highly regulated form of physical dance runs in circles.",In Search Of Rehearsed Spontaneity,20060325,0.2382,0.2382,0,0.928,0.072
"Rolf Myller was an architect whose eclectic pursuits included writing children's books, puzzle books and guides to erotic games and Chinese food.","Rolf Myller, 79, an Architect and Writer",20060325,0,0,0,1,0
The Warner Music Group agreed to buy the Ryko Corporation for $67.5 million to gain independent labels and recordings by artists including Frank Zappa.,"Warner Music to Acquire Ryko, Gaining Labels and Song Library",20060325,0.6705,0.6705,0,0.8,0.2
A state appeals court ruling this week on school financing for New York City was a moral victory for education advocates but the ruling may have no teeth.,"Ruling With a Little Bark, but No Bite",20060325,-0.4215,-0.4215,0.101,0.899,0
Two key supervisors were dismissed as part of a wide-ranging inquiry into the improper diversion of relief supplies after Katrina.,Red Cross Fires 2 Managers In New Orleans Amid Audit,20060325,0.4767,0.4767,0,0.853,0.147
"The two countries, unable to agree on who controls the Himalayan territory of Kashmir, have been in talks for more than two years.","As Indian Premier Calls for Treaty, Pakistan Says Kashmir Is the Key",20060325,0.3612,0.3612,0,0.898,0.102
An experiment in Oregon is among several efforts across the country designed to increase state revenues without raising gasoline taxes.,Oregon Looks at Taxing Miles Driven in Lieu of Gas,20060325,0.3182,0.3182,0,0.892,0.108
"To the Editor: Re ''To All the Girls I've Rejected'' (Op-Ed, March 23):",Colleges Slam the Door on Girls,20060325,0,0,0,1,0
"The trick to good baked beans is cooking them very slowly with indirect heat. This recipe calls for baking them in a tightly sealed casserole in an oven barely hot enough to toast bread. As the hours pass, the beans drink up a broth flavored with ...",The Arsenal,20060326,0.133967,0.4019,0.025,0.913,0.062
A group of university researchers said that they had created cloned pigs that make their own omega-3 fatty acids.,Cloned Pigs Could Provide Meat That Benefits the Heart,20060326,0.25,0.25,0,0.895,0.105
The American Red Cross has dismissed a third volunteer in its widening inquiry into accusations of improprieties involving the relief effort after Hurricane Katrina.,Red Cross Fires 3rd Volunteer Amid Inquiry,20060326,0.2023,0.2023,0.087,0.795,0.117
The panel said the parts of the levee system that survived Hurrican Katrina should be given a close look before the city can be declared safe.,Engineers' Panel Urges Study of All Levees in New Orleans,20060326,0.7351,0.7351,0,0.788,0.212
"Trying to meet the requirements of No Child Left Behind, thousands of schools are reducing class time spent on other subjects.",Schools Cut Back Subjects to Push Reading and Math,20060326,-0.296,-0.296,0.099,0.901,0
"The biggest effect of the mistakes made by the College Board in scoring the SAT will be on eligibility for scholarships, not on admissions decisions.",Colleges Say SAT Mistakes May Affect Scholarships,20060326,-0.3612,-0.3612,0.094,0.906,0
"Martina Hingis was ranked No. 1 at 16 and retired at 22 because of injuries. Now 25, she returned to competition in January and has climbed to No. 26.",An Extreme Changeover Has Hingis Back in Game,20060326,-0.5267,-0.5267,0.145,0.855,0
"In Austin, Tex., the five firefighters of Team C at Firehouse 2 now eat vegan.",Firefighters Gone Vegan? Even Austin Is Impressed,20060326,0,0,0,1,0
"Jodi Picoult’s forte is examining family values and ethical dilemmas that make the reader agonize, gasp and often cry trying to decipher what is right and what is wrong.",Exploring Family Values and Scary What-Ifs,20060326,-0.5423,-0.5423,0.241,0.608,0.152
"He would have been 100 next month. For today's playwrights, Samuel Beckett remains both a blessing and a curse.",You Must Go On After Beckett. I Can't Go On After Beckett. Go On.,20060326,-0.0772,-0.0772,0.161,0.691,0.147
"With a little sleight of hand, race and class divisions in South Africa can vanish, at least for a moment.",Presto! A School for Magic Creates Hope Out of Thin Air,20060327,0.4472,0.4472,0,0.853,0.147
"Through shrewd lobbying and litigation, oil companies were able to sweeten federal incentives for drilling in the Gulf of Mexico.",Vague Law and Hard Lobbying Add Up to Billions for Big Oil,20060327,0.0516,0.0516,0.138,0.759,0.103
"For nearly two hours, this documentary recounts what may be the most television-friendly life story in the history of playwriting.","On PBS, Ric Burns Tells the Story of Eugene O'Neill's Turbulent Life",20060327,0,0,0,1,0
"Any Wagnerians who happen to tune in to ""Dark Kingdom"" will doubtless stamp their spears in exasperation.",The Formidable Brunhild as an Icelandic Hottie in 'Dark Kingdom',20060327,0.2263,0.2263,0,0.894,0.106
"Thousands of letters a year are sent to Juliet, of Shakespeare's ""Romeo and Juliet.""",Letters to Juliet Slide Show,20060327,0,0,0,1,0
"A picture on Friday showing Red Cross volunteers unloading bags of ice in Biloxi, Miss., carried a misspelled credit in some copies. The photographer was Spencer Platt/Getty Images.",Corrections,20060327,0.3818,0.3818,0,0.906,0.094
Dr. Leo Lutwak raised early concerns about health risks from the diet aid fen-phen while he was a medical officer for the Food and Drug Administration.,"Leo Lutwak, 77, an Early Critic of Fen-Phen",20060327,-0.2732,-0.2732,0.08,0.92,0
"Researchers said that they had created pigs that make their own omega-3 fatty acids, but for now the benefits are theoretical.",Pork That's Good for the Heart May Be Possible With Cloning,20060327,0.5994,0.5994,0,0.795,0.205
"In one of the greatest upsets in N.C.A.A. tournament history, No. 11-seeded George Mason defeated the UConn Huskies, 86-84.",One of These Teams Is Not Like the Others,20060327,-0.3818,-0.3818,0.289,0.556,0.156
"Now Playing in Courtrooms Last week was a busy one in the Los Angeles courts. The actor Randy Quaid, who played the disapproving rancher Joe Aguirre in ''Brokeback Mountain,'' filed suit against the film's producers, Reuters and The Associat...","Arts, Briefly",20060327,0.27115,0.4939,0,0.896,0.104
"In the absence of thousands of voters, community groups and activists challenged the legitimacy of the April 22 election.",Judge Orders New Orleans to Proceed With Election,20060328,-0.1027,-0.1027,0.072,0.928,0
"Louisiana is investigating accusations that Red Cross volunteers stole relief money to see if there was criminal activity under state law, its attorney general said.",Louisiana Investigating Red Cross on Relief,20060328,-0.3818,-0.3818,0.185,0.714,0.101
"Dawn, a spacecraft that will visit two of the solar system's largest asteroids — Vesta and Ceres — will blast off in summer 2007.","Weeks After Killing It, NASA Resurrects Mission to Visit Asteroids",20060328,0,0,0,1,0
Do differences in egg color mean anything? And how do you watch an eclipse from your armchair?,How Blue Can You Get?,20060328,0,0,0,1,0
"Researchers are studying the transmission and virulence of bird flu in ferrets and mice, trying to answer questions about the A(H5N1) virus.",Making a Ferret Sneeze for Hints to the Transmission of Bird Flu,20060328,-0.3818,-0.3818,0.11,0.89,0
"Having observed A(H5N1) for many years in Asia, Dr. Jeremy Farrar thinks it is unlikely that the virus is poised to jump species.",On the Front: A Pandemic Is Worrisome but 'Unlikely',20060328,0.25,0.25,0,0.917,0.083
"David Nabarro, chief avian flu coordinator for the United Nations, says that like early AIDS, avian flu has too many unanswered questions.",At the U.N.: This Virus Has an Expert 'Quite Scared',20060328,0.0258,0.0258,0.182,0.632,0.186
By The New York Times.,Bedouin Girl in Article Dies of Genetic Disease,20060328,0,0,0,1,0
Scientists are scratching their heads over how much of a threat the A(H5N1) influenza virus presents to the world's birds.,"From the Chickens' Perspective, the Sky Really Is Falling",20060328,-0.5267,-0.5267,0.159,0.841,0
The 1918 pandemic reveals both a lot and not enough about what is happening with bird flu today.,The 1918 Flu Killed Millions. Does It Hold Clues for Today?,20060328,-0.3818,-0.3818,0.14,0.86,0
"A bird-flu vaccine being stockpiled by the government protects only about half the people who receive it, scientists are reporting.",Scientists Question Effectiveness of Bird-Flu Vaccine,20060329,0.3182,0.3182,0,0.887,0.113
The shadow of the Moon swept across the globe today and blotted the Sun from the sky in a swath from the tip of Brazil to northern Asia.,Eclipse Offers 3 Minutes of Astronomical Wonder,20060329,0,0,0,1,0
Georgia is about to become the first state to approve the use of the Bible as a textbook in public schools.,Teaching the Bible in Georgia's Public Schools,20060329,0,0,0,1,0
Word has spread of the larger savings available by buying American textbooks that are printed in India.,Getting Textbooks Cheaper From India,20060329,0,0,0,1,0
Officials said they will put into effect a better system of communication and evacuation to get residents away from the path of a storm.,"After Hard Lessons, a New Game Plan for Hurricane Seasons",20060329,0.4404,0.4404,0,0.879,0.121
The discovery of a school aide's criminal past has wrecked a principal's career and thrown an East Harlem school into turmoil.,A School Disrupted by One Aide's Past,20060329,-0.7096,-0.7096,0.258,0.742,0
Dr. Robert W. Miller led an American team that determined that even fetuses had suffered damage from the atomic bombing of Hiroshima and Nagasaki.,"Robert W. Miller, 84, Who Studied A-Bomb Effect, Dies",20060329,-0.6124,-0.6124,0.215,0.705,0.081
The incoming White House chief of staff appears to have the credentials and ability to soothe Congress that President Bush needs.,"Joshua Brewster Bolten: Longtime Ally, Now a Top Aide",20060329,0.5859,0.5859,0,0.798,0.202
The new Hard Rock Hotel is causing a stir in the centuries-old neighborhood where it will soon open.,The Literary Heart of Old Madrid Ponders Its Next Chapter,20060329,-0.1027,-0.1027,0.08,0.92,0
"The WB offers a fun show about attractive college kids experimenting with life, lab reports and love: ""The O.C."" for the Stanley H. Kaplan set.","Bedford, a College With Sex in the Curriculum",20060329,0.886,0.886,0,0.669,0.331
The announcement was seen as a move by Russia's state-controlled gas monopoly to gain control of Belarus's gas transit system.,Russia Says Belarus Must Now Pay Market Price for Gas,20060330,0.5267,0.5267,0,0.841,0.159
President Jacques Chirac is expected to make the law effective by signing it as early as Friday and will address the nation.,"As France Approves Labor Law, Students Block Roads and Rails",20060330,0.4767,0.4767,0,0.871,0.129
"After hours of debate, the lower house of Parliament agreed to grant broad new powers to the wealthy northeastern region.",Catalonia Wins Self-Governing Powers from Spain,20060330,0.5994,0.5994,0.087,0.632,0.281
"The two nations were responding to Secretary of State Condoleezza Rice, who was urging U.N. sanctions on Iran.",China and Russia Wary of Call for Iran Sanctions,20060330,0,0,0,1,0
"In addition, the new interior minister said Palestinian militants would not face arrest from the Palestinian police.",Hamas Criticizes Aid Cuts as It Assumes Power,20060330,0.2584,0.2584,0,0.887,0.113
Out-of-state gay couples are barred from marrying in Massachusetts if the union would be illegal in their home states.,Massachusetts Court Limits Same-Sex Marriages,20060330,-0.5574,-0.5574,0.167,0.833,0
Jill Carroll said she had been mostly confined to a small room during her captivity but had been treated well by her captors.,American Reporter Kidnapped in Baghdad Is Released,20060330,0.3919,0.3919,0,0.888,0.112
"As drug dealers move into damaged houses, gunfire can again be heard in a city that once led the nation in homicides per capita.","As Life Returns to New Orleans, So Does Crime",20060330,-0.4404,-0.4404,0.116,0.884,0
Charles E. Schumer's bill would put lawsuits challenging the National Security Agency's domestic surveillance program on a fast track to the Supreme Court.,Bill Would Speed Challenge to Surveillance,20060330,0.7184,0.7184,0.059,0.662,0.279
"For two decades, automakers have been concentrating on making vehicles bigger and faster instead of improving efficiency.","Automakers Use New Technology to Beef Up Muscle, Not Mileage",20060330,0.6486,0.6486,0,0.739,0.261
"Facing down the united nationwide protests, the French president declared today that he would implement the law.",Chirac Presses On With Divisive Labor Law,20060331,0.2263,0.2263,0.096,0.761,0.142
Condoleezza Rice's trip to meet with the British foreign secretary was plagued by sometimes raucous demonstrations against the war in Iraq.,Rice Faces Cancellations and Catcalls on British Visit,20060331,-0.5994,-0.5994,0.163,0.837,0
"The number of deaths might not rise much higher, since most residents in the province were roused by a weaker earthquake a few hours earlier.","Iran Earthquake Kills 70, Destroys 330 Villages",20060331,-0.3818,-0.3818,0.115,0.833,0.052
"Colleagues of the dead man accused the Palestinian forces of involvement, an allegation that set off deadly gun battles.",Gun Battles Follow Killing of Militant in Gaza,20060331,-0.8885,-0.8885,0.434,0.566,0
"A boat with about 130 people on board capsized during a dinner cruise near Manama, the island country's capital.",Ferry Capsizes Off Bahrain; At Least 57 Dead,20060331,0,0,0,1,0
"Jill Carroll spent today recovering in the fortified heart of Baghdad, despite a warning from her kidnappers to avoid the area.",Captors Warned Reporter Not to Cooperate With Americans,20060331,-0.0423,-0.0423,0.099,0.809,0.092
"Two strong earthquakes flattened villages in western Iran early Friday, killing at least 38 people and injuring hundreds.",38 Dead After Quakes Shake Western Iran,20060331,-0.2732,-0.2732,0.186,0.675,0.139
The Alabama House unanimously passed a bill that would pardon Rosa Parks and hundreds of other people arrested for violating the state's segregation-era laws.,Bid for Rosa Parks Pardon,20060331,-0.6486,-0.6486,0.228,0.692,0.08
"As protests continued over immigration legislation, a principal was also disciplined for flying a Mexican flag in front of a school.",Houston Students Protest,20060331,-0.2263,-0.2263,0.101,0.899,0
Documents released in the sentencing of Zacarias Moussaoui have offered an eerie parallel view of Al Qaeda and the F.B.I.,"At Sept. 11 Trial, Tale of Missteps and Management",20060331,-0.4767,-0.4767,0.186,0.814,0
"The 115-year-old dam that burst during torrential rains and killed seven people in Kauai, Hawaii, was never inspected by the state.","In Hawaii, Rained-In Tourists and Questions Over a Dam Break",20060401,-0.6705,-0.6705,0.184,0.816,0
"A procedure to reduce risk of a stroke by clearing plaque from neck arteries had unexpected gains in memory and mental skills, a study said.",Study Finds Mental Gains in a Neck Artery Treatment,20060401,0.0772,0.0772,0.086,0.816,0.098
Bernard Siegan's unsuccessful nomination to a federal appellate judgeship was one of the most bitterly disputed judicial nominations of the Reagan era.,"Bernard Siegan, 81, Legal Scholar and Reagan Nominee, Dies",20060401,-0.8162,-0.8162,0.32,0.68,0
"The move, by Democratic leaders in the Maryland Legislature on Friday, showed the sensitivity of education as an election year issue in the state.",Lawmakers Vote to Block Takeover of Schools in Baltimore,20060401,0,0,0,1,0
WEST.,National Briefing,20060401,0,0,0,1,0
"In the wake of reports that two more women had died after using abortion pills, some doctors say they are becoming uneasy about prescribing them.",Some Doctors Voice Worry Over Abortion Pills' Safety,20060401,-0.7553,-0.7553,0.219,0.781,0
Maine's governor has signed a bill that allows animals to be included in protection orders in domestic violence cases.,New Maine Law Shields Animals in Domestic Violence Cases,20060401,-0.6249,-0.6249,0.194,0.806,0
A recent tense conference call gave a sense of just how much the world had changed for the Army Corps of Engineers in the wake of Gulf Coast flooding.,The Dilemma of the Levees,20060401,-0.34,-0.34,0.085,0.915,0
"A DJ nicknamed El Mandril, or the Baboon, and others keep fanning the flames of protest over immigration legislation before Congress.","Live, From Burbank, Calif., Hispanic Indignation",20060401,-0.25,-0.25,0.095,0.905,0
"A plan for a new casino has created an uproar amongthe island's 3,800 residents, fearing a host of outside social ills.",Easter Island Casino Plan Raises Fear of Cultural Erosion,20060401,-0.4019,-0.4019,0.171,0.737,0.092
Students and labor unions rejected a compromise offer today by President Jacques Chirac.,France Braces for More Protests and Strikes,20060402,-0.5106,-0.5106,0.231,0.769,0
"Pilgrims flooded St. Peter's Square today to pay their respects to Pope John Paul II, who died a year ago.",Tens of Thousands Honor John Paul II,20060402,-0.4019,-0.4019,0.215,0.687,0.099
"An official demanded that the prime minister resign, as Secretary of State Condoleezza Rice made a surprise visit to Baghdad.",Shiite Alliance Splits Over Fate of Iraqi Leader,20060402,-0.296,-0.296,0.192,0.714,0.094
"Jill Carroll, who had been held hostage for 82 days in Iraq, reunited with her family and colleagues.",Freed Reporter Returns to U.S. for Joyful Reunion,20060402,0,0,0,1,0
Secretary of State Condoleezza Rice told Iraq's leaders that they need to complete the process right away.,"In Baghdad, Rice Urges Iraqis to Form Government Quickly",20060402,0,0,0,1,0
"FLORIDA CITY, Fla., April 1 (AP) — Officials inspecting a nuclear reactor at the Turkey Point plant here found a small hole drilled into a pipe that helps maintain pressure, and investigators were trying to determine why it was there, Florida Powe...",Small Hole in Pipe at Nuclear Plant,20060402,0.1027,0.1027,0.054,0.882,0.064
"The march in Costa Mesa, Calif., capped a week of demonstrations in the region.",Latinos Protest in California in Latest Immigration March,20060402,0,0,0,1,0
Critics of the voting system — proposed for the election for mayor and other city positions — say it makes it difficult for displaced voters to participate.,Voting Rights for the Displaced Is the Rally Cry in New Orleans,20060402,-0.5719,-0.5719,0.158,0.842,0
"Violence in Afghanistan has intensified in recent days, after Taliban insurgents said they had begun a spring offensive.",Afghan Bomb Wounds 5 G.I.'s,20060402,-0.7964,-0.7964,0.321,0.679,0
"Under the legislation, California would become the first state to impose limits on all greenhouse gases.",California Considers Bill to Limit Emissions,20060403,-0.296,-0.296,0.128,0.872,0
The secretary of state and her British counterpart pressed Iraqi leaders for a second day today to speed up their efforts to form a new government.,Rice and Straw Keep Pressure on Iraqis,20060403,0,0,0,1,0
The former Liberian president refused at first to recognize the court's jurisdiction and accused it of meddling.,Charles Taylor Pleads Not Guilty to War Crimes,20060403,-0.5267,-0.5267,0.227,0.773,0
"The U.N.'s top humanitarian official to the western Darfur region, Jan Egeland, accused Khartoum of attempting to hide the dire conditions there.",Sudan Blocks Visit of U.N. Official to Darfur,20060403,-0.6249,-0.6249,0.258,0.674,0.067
Several of the 17 military personnel on board were injured when a giant Air Force cargo plane crashed near a runway at Dover Air Force Base.,Military Cargo Plane Crashes in Delaware,20060403,-0.4019,-0.4019,0.105,0.895,0
The deaths were reported as representatives of Prime Minister Ibrahim al-Jaafari lobbied to keep his post.,U.S. Announces Deaths of 9 American Troops,20060403,0,0,0,1,0
"At least eight people were killed as severe storms and possible tornadoes swept across at least four states, emergency officials said.",At Least 8 Killed in Tennessee Storm,20060403,-0.8658,-0.8658,0.35,0.65,0
Bill Frist is having mixed results leading the Senate and developing a national standing for a presidential bid.,Frist Is Treading a Perilous Path Leading to 2008,20060403,0,0,0,1,0
"More Iraqis than ever have been buying weapons, adding an unnerving level of firepower to the streets.",Sectarian Strife Fuels Gun Sales in Baghdad,20060403,-0.4404,-0.4404,0.153,0.847,0
The split came as Condoleezza Rice and the British minister paid an urgent visit to convey that their patience for Iraq's political paralysis was wearing thin.,Iraqi Shiite Bloc Splits Over Call for New Premier,20060403,0.2023,0.2023,0,0.933,0.067
"The tasting panel found that 2002 Sonoma cabernets perform well, offering a reliable, more graceful alternative to the power of Napa.",Wines of The Times: '02 Sonoma Cabernets,20060404,0.659,0.659,0,0.769,0.231
The state legislature overwhelmingly passed a bill today that Gov. Mitt Romney says he will sign.,Massachusetts Set to Offer Universal Health Insurance,20060404,-0.128,-0.128,0.097,0.903,0
